sequence_id	superfamily	classification	length	original_header
Mariner-6_SM_tp	TcMar	DNA/TcMar-ISRm11	387	Mariner-6_SM_tp#DNA/TcMar-ISRm11 RBRM:Mariner-6_SM stops:1 cds_range:560-1721 via tfasty with 31212651_AG [Schmidtea mediterranea]
Mariner-7_NV_tp	TcMar	DNA/TcMar-ISRm11	353	Mariner-7_NV_tp#DNA/TcMar-ISRm11 RBRM:Mariner-7_NV cds_range:592-1651 [Nematostella vectensis]
Mariner-7_ROr_tp	TcMar	DNA/TcMar-ISRm11	435	Mariner-7_ROr_tp#DNA/TcMar-ISRm11 RBRM:Mariner-7_ROr cds_range:56-1361 [Rhizopus oryzae]
Mariner-7_SM_tp	TcMar	DNA/TcMar-ISRm11	316	Mariner-7_SM_tp#DNA/TcMar-ISRm11 RBRM:Mariner-7_SM cds_range:660-1608 [Schmidtea mediterranea]
Mariner-7_XT_tp	TcMar	DNA/TcMar-ISRm11	372	Mariner-7_XT_tp#DNA/TcMar-ISRm11 RBRM:Mariner-7_XT cds_range:721-1837 [Xenopus (silurana) tropicalis]
Mariner-9_ROr_tp	TcMar	DNA/TcMar-ISRm11	434	Mariner-9_ROr_tp#DNA/TcMar-ISRm11 RBRM:Mariner-9_ROr cds_range:272-1574 [Rhizopus oryzae]
Mariner-10_PI_tp	TcMar	DNA/TcMar-ISRm11	366	Mariner-10_PI_tp#DNA/TcMar-ISRm11 RBRM:Mariner-10_PI cds_range:296-1394 [Phytophthora infestans]
Mariner-11_PI_tp	TcMar	DNA/TcMar-ISRm11	368	Mariner-11_PI_tp#DNA/TcMar-ISRm11 RBRM:Mariner-11_PI cds_range:240-1344 [Phytophthora infestans]
Mariner-12_PI_tp	TcMar	DNA/TcMar-ISRm11	379	Mariner-12_PI_tp#DNA/TcMar-ISRm11 RBRM:Mariner-12_PI cds_range:264-1401 [Phytophthora infestans]
Mariner-12_SM_tp	TcMar	DNA/TcMar-ISRm11	371	Mariner-12_SM_tp#DNA/TcMar-ISRm11 RBRM:MARINER-12_SM cds_range:159-1272 [Schmidtea mediterranea]
Mariner-13_PI_tp	TcMar	DNA/TcMar-ISRm11	313	Mariner-13_PI_tp#DNA/TcMar-ISRm11 RBRM:Mariner-13_PI cds_range:265-1204 [Phytophthora infestans]
Mariner-15_PI_tp	TcMar	DNA/TcMar-ISRm11	329	Mariner-15_PI_tp#DNA/TcMar-ISRm11 RBRM:Mariner-15_PI cds_range:257-1244 [Phytophthora infestans]
Mariner-19_SM_tp	TcMar	DNA/TcMar-ISRm11	334	Mariner-19_SM_tp#DNA/TcMar-ISRm11 RBRM:Mariner-19_SM cds_range:120-1122 [Schmidtea mediterranea]
Mariner-20_SM_tp	TcMar	DNA/TcMar-ISRm11	335	Mariner-20_SM_tp#DNA/TcMar-ISRm11 RBRM:Mariner-20_SM cds_range:76-1081 [Schmidtea mediterranea]
Mariner-28_RPr_tp	TcMar	DNA/TcMar-ISRm11	273	Mariner-28_RPr_tp#DNA/TcMar-ISRm11 RBRM:Mariner-28_RPr cds_range:35-854 [Rhodnius prolixus]
Mariner-31_CGi_tp	TcMar	DNA/TcMar-ISRm11	355	Mariner-31_CGi_tp#DNA/TcMar-ISRm11 RBRM:Mariner-31_CGi cds_range:2289-3354 [Crassostrea gigas]
Mariner-32_RPr_tp	TcMar	DNA/TcMar-ISRm11	411	Mariner-32_RPr_tp#DNA/TcMar-ISRm11 RBRM:Mariner-32_RPr cds_range:339-1572 [Rhodnius prolixus]
Mariner-42_HM_tp	TcMar	DNA/TcMar-ISRm11	402	Mariner-42_HM_tp#DNA/TcMar-ISRm11 RBRM:Mariner-42_HM cds_range:351-1695 exons:351-1290;1428-1695 via genewise with Mariner-12_SM [Hydra vulgaris]
Mariner-44_HM_tp	TcMar	DNA/TcMar-ISRm11	343	Mariner-44_HM_tp#DNA/TcMar-ISRm11 RBRM:Mariner-44_HM cds_range:585-1614 [Hydra vulgaris]
Mariner-45_HM_tp	TcMar	DNA/TcMar-ISRm11	326	Mariner-45_HM_tp#DNA/TcMar-ISRm11 RBRM:Mariner-45_HM cds_range:579-1557 [Hydra vulgaris]
SMAR30_tp	TcMar	DNA/TcMar-ISRm11	401	SMAR30_tp#DNA/TcMar-ISRm11 RBRM:SMAR30 cds_range:231-1434 [Schmidtea mediterranea]
Mariner44_CB_tp	TcMar	DNA/TcMar-m44	501	Mariner44_CB_tp#DNA/TcMar-m44 RBRM:MARINER44_CB cds_range:658-2161 [Caenorhabditis briggsae]
Mariner-1_AP_tp	TcMar	DNA/TcMar-m44	434	Mariner-1_AP_tp#DNA/TcMar-m44 RBRM:Mariner-1_AP cds_range:503-1805 [Acyrthosiphon pisum]
Mariner-2_AP_tp	TcMar	DNA/TcMar-m44	439	Mariner-2_AP_tp#DNA/TcMar-m44 RBRM:Mariner-2_AP frameshifts:2 cds_range:432-1747 via tfasty with 52548731_arch [Acyrthosiphon pisum]
Mariner-3_AP_tp	TcMar	DNA/TcMar-m44	434	Mariner-3_AP_tp#DNA/TcMar-m44 RBRM:Mariner-3_AP frameshifts:1 stops:2 cds_range:536-1839 via tfasty with 52548731_arch [Acyrthosiphon pisum]
Mariner-21_CGi_tp	TcMar	DNA/TcMar-m44	376	Mariner-21_CGi_tp#DNA/TcMar-m44 RBRM:Mariner-21_CGi cds_range:3954-5082 [Crassostrea gigas]
Mariner-33_LMi_tp	TcMar	DNA/TcMar-m44	462	Mariner-33_LMi_tp#DNA/TcMar-m44 RBRM:Mariner-33_LMi cds_range:171-1557 [Locusta migratoria]
Mariner-40_LMi_tp	TcMar	DNA/TcMar-m44	480	Mariner-40_LMi_tp#DNA/TcMar-m44 RBRM:Mariner-40_LMi cds_range:261-1701 [Locusta migratoria]
Mariner-41_LMi_tp	TcMar	DNA/TcMar-m44	447	Mariner-41_LMi_tp#DNA/TcMar-m44 RBRM:Mariner-41_LMi frameshifts:1 cds_range:61-1401 via tfasty with Mariner-55_LMi_tp [Locusta migratoria]
Mariner-47_LMi_tp	TcMar	DNA/TcMar-m44	475	Mariner-47_LMi_tp#DNA/TcMar-m44 RBRM:Mariner-47_LMi frameshifts:4 stops:1 cds_range:248-1671 via tfasty with Mariner-40_LMi_tp [Locusta migratoria]
Mariner-55_LMi_tp	TcMar	DNA/TcMar-m44	461	Mariner-55_LMi_tp#DNA/TcMar-m44 RBRM:Mariner-55_LMi cds_range:203-1586 [Locusta migratoria]
ANM4_tp	TcMar	DNA/TcMar-Mariner	314	ANM4_tp#DNA/TcMar-Mariner RBRM:ANM4 frameshifts:7 cds_range:381-1324 wised with Kusmar1  [Antheraea mylitta]
AVMAR1_tp	TcMar	DNA/TcMar-Mariner	352	AVMAR1_tp#DNA/TcMar-Mariner RBRM:AVMAR1 cds_range:89-1145 [Adineta vaga]
AVMAR1A_tp	TcMar	DNA/TcMar-Mariner	345	AVMAR1A_tp#DNA/TcMar-Mariner RBRM:AVMAR1A cds_range:109-1144 [Adineta vaga]
BOTMAR1_tp	TcMar	DNA/TcMar-Mariner	345	BOTMAR1_tp#DNA/TcMar-Mariner RBRM:BOTMAR1 frameshifts:2 cds_range:160-1193 wised with Bgmar1 [Bombus terrestris]
MAR1_TV_tp	TcMar	DNA/TcMar-Mariner	375	MAR1_TV_tp#DNA/TcMar-Mariner RBRM:MAR1_TV cds_range:96-1221 [Trichomonas vaginalis]
Mari2_Pca_tp	TcMar	DNA/TcMar-Mariner	354	Mari2_Pca_tp#DNA/TcMar-Mariner RBRM:Mari2_Pca frameshifts:1 cds_range:191-1252 via tfasty with SMAR31 [Procavia capensis]
MARIAM1_tp	TcMar	DNA/TcMar-Mariner	342	MARIAM1_tp#DNA/TcMar-Mariner RBRM:MARIAM1 cds_range:181-1207 [Apis mellifera]
MARINA_tp	TcMar	DNA/TcMar-Mariner	348	MARINA_tp#DNA/TcMar-Mariner RBRM:MARINA cds_range:168-1212 [Endopterygota]
Mariner1_BT_tp	TcMar	DNA/TcMar-Mariner	342	Mariner1_BT_tp#DNA/TcMar-Mariner RBRM:Mariner1_BT cds_range:177-1203 [Bos taurus]
Mariner1_DYa_tp	TcMar	DNA/TcMar-Mariner	349	Mariner1_DYa_tp#DNA/TcMar-Mariner RBRM:Mariner1_DYa cds_range:182-1229 [Drosophila yakuba]
Mariner1_GG_tp	TcMar	DNA/TcMar-Mariner	361	Mariner1_GG_tp#DNA/TcMar-Mariner RBRM:Mariner1_GG cds_range:135-1218 [Gallus]
Mariner4_CB_tp	TcMar	DNA/TcMar-Mariner	340	Mariner4_CB_tp#DNA/TcMar-Mariner RBRM:Mariner4_CB cds_range:158-1178 [Caenorhabditis briggsae]
Mariner5_CB_tp	TcMar	DNA/TcMar-Mariner	336	Mariner5_CB_tp#DNA/TcMar-Mariner RBRM:Mariner5_CB frameshifts:3 stops:6 cds_range:175-1183 wised with Mariner4_CB  [Caenorhabditis briggsae]
Mariner6_CB_tp	TcMar	DNA/TcMar-Mariner	334	Mariner6_CB_tp#DNA/TcMar-Mariner RBRM:Mariner6_CB frameshifts:5 stops:5 cds_range:176-1175 wised with Mariner4_CB  [Caenorhabditis briggsae]
Mariner12_CB_tp	TcMar	DNA/TcMar-Mariner	319	Mariner12_CB_tp#DNA/TcMar-Mariner RBRM:Mariner12_CB frameshifts:3 cds_range:182-1138 wised with Mariner12_CB and Acmar  [Caenorhabditis briggsae]
Mariner18_CB_tp	TcMar	DNA/TcMar-Mariner	340	Mariner18_CB_tp#DNA/TcMar-Mariner RBRM:Mariner18_CB cds_range:166-1186 [Caenorhabditis briggsae]
Mariner24_CB_tp	TcMar	DNA/TcMar-Mariner	309	Mariner24_CB_tp#DNA/TcMar-Mariner RBRM:Mariner24_CB frameshifts:2 stops:4 cds_range:249-1174 wised with Mariner3_CE  [Caenorhabditis briggsae]
Mariner26_CB_tp	TcMar	DNA/TcMar-Mariner	329	Mariner26_CB_tp#DNA/TcMar-Mariner RBRM:Mariner26_CB frameshifts:1 stops:5 cds_range:187-1173 wised with Mariner3_CE  [Caenorhabditis briggsae]
Mariner38_CB_tp	TcMar	DNA/TcMar-Mariner	325	Mariner38_CB_tp#DNA/TcMar-Mariner RBRM:Mariner38_CB frameshifts:4 stops:5 cds_range:169-1141 wised with Mariner4_CE and Mariner2_CE  [Caenorhabditis briggsae]
Mariner-1_ACar_tp	TcMar	DNA/TcMar-Mariner	356	Mariner-1_ACar_tp#DNA/TcMar-Mariner RBRM:Mariner-1_ACar cds_range:162-1230 [Anolis carolinensis]
Mariner-1_ACe_tp	TcMar	DNA/TcMar-Mariner	342	Mariner-1_ACe_tp#DNA/TcMar-Mariner RBRM:Mariner-1_ACe cds_range:184-1210 [Atta cephalotes]
Mariner-1_AEc_tp	TcMar	DNA/TcMar-Mariner	361	Mariner-1_AEc_tp#DNA/TcMar-Mariner RBRM:Mariner-1_AEc cds_range:150-1233 [Acromyrmex echinatior]
Mariner-1_BG_tp	TcMar	DNA/TcMar-Mariner	366	Mariner-1_BG_tp#DNA/TcMar-Mariner RBRM:Mariner-1_BG frameshifts:1 stops:1 cds_range:257-1354 via tfasty with Mariner-1_AN_tp [Blumeria graminis]
Mariner-1_BM_tp	TcMar	DNA/TcMar-Mariner	333	Mariner-1_BM_tp#DNA/TcMar-Mariner RBRM:Mariner-1_BM cds_range:860-1859 [Bombyx mori]
Mariner-1_CFl_tp	TcMar	DNA/TcMar-Mariner	345	Mariner-1_CFl_tp#DNA/TcMar-Mariner RBRM:Mariner-1_CFl cds_range:175-1210 [Camponotus floridanus]
Mariner-1_DBi_tp	TcMar	DNA/TcMar-Mariner	353	Mariner-1_DBi_tp#DNA/TcMar-Mariner RBRM:Mariner-1_DBi cds_range:209-1268 Mariner-2_Dro_tp near-identical. [Drosophila biarmipes]
Mariner-1_DEl_tp	TcMar	DNA/TcMar-Mariner	341	Mariner-1_DEl_tp#DNA/TcMar-Mariner RBRM:Mariner-1_DEl cds_range:142-1165 [Drosophila elegans]
Mariner-1_DF_tp	TcMar	DNA/TcMar-Mariner	342	Mariner-1_DF_tp#DNA/TcMar-Mariner RBRM:Mariner-1_DF cds_range:185-1211 [Drosophila ficusphila]
Mariner-1_DPe_tp	TcMar	DNA/TcMar-Mariner	350	Mariner-1_DPe_tp#DNA/TcMar-Mariner RBRM:Mariner-1_DPe frameshifts:1 cds_range:176-1225 via tfasty with Mariner-4_BM [Drosophila persimilis]
Mariner-1_Dro_tp	TcMar	DNA/TcMar-Mariner	371	Mariner-1_Dro_tp#DNA/TcMar-Mariner RBRM:Mariner-1_Dro cds_range:119-1232 [Drosophila fruit fly genus]
Mariner-1_HSal_tp	TcMar	DNA/TcMar-Mariner	342	Mariner-1_HSal_tp#DNA/TcMar-Mariner RBRM:Mariner-1_HSal cds_range:182-1208 [Harpegnathos saltator]
Mariner-1_LHu_tp	TcMar	DNA/TcMar-Mariner	349	Mariner-1_LHu_tp#DNA/TcMar-Mariner RBRM:Mariner-1_LHu cds_range:171-1218 [Linepithema humile]
Mariner-1_PBa_tp	TcMar	DNA/TcMar-Mariner	349	Mariner-1_PBa_tp#DNA/TcMar-Mariner RBRM:Mariner-1_PBa cds_range:180-1227 [Pogonomyrmex barbatus]
Mariner-1B_HSal_tp	TcMar	DNA/TcMar-Mariner	342	Mariner-1B_HSal_tp#DNA/TcMar-Mariner RBRM:Mariner-1B_HSal cds_range:182-1208 [Harpegnathos saltator]
Mariner-2_ACe_tp	TcMar	DNA/TcMar-Mariner	345	Mariner-2_ACe_tp#DNA/TcMar-Mariner RBRM:Mariner-2_ACe cds_range:172-1207 [Atta cephalotes]
Mariner-2_BF_tp	TcMar	DNA/TcMar-Mariner	351	Mariner-2_BF_tp#DNA/TcMar-Mariner RBRM:Mariner-2_BF cds_range:168-1221 [Branchiostoma floridae]
Mariner-2_CGi_tp	TcMar	DNA/TcMar-Mariner	350	Mariner-2_CGi_tp#DNA/TcMar-Mariner RBRM:Mariner-2_CGi cds_range:61-1111 [Crassostrea gigas]
Mariner-2_DEl_tp	TcMar	DNA/TcMar-Mariner	340	Mariner-2_DEl_tp#DNA/TcMar-Mariner RBRM:Mariner-2_DEl frameshifts:1 cds_range:161-1182 via tfasty with NAVIMAR1 [Drosophila elegans]
Mariner-2_DF_tp	TcMar	DNA/TcMar-Mariner	353	Mariner-2_DF_tp#DNA/TcMar-Mariner RBRM:Mariner-2_DF frameshifts:1 cds_range:208-1266 via tfasty with Mariner-1_DBi_tp [Drosophila ficusphila]
Mariner-2_HSal_tp	TcMar	DNA/TcMar-Mariner	342	Mariner-2_HSal_tp#DNA/TcMar-Mariner RBRM:Mariner-2_HSal cds_range:186-1212 [Harpegnathos saltator]
Mariner-2_LHu_tp	TcMar	DNA/TcMar-Mariner	361	Mariner-2_LHu_tp#DNA/TcMar-Mariner RBRM:Mariner-2_LHu cds_range:125-1208 [Linepithema humile]
Mariner-2_LMi_tp	TcMar	DNA/TcMar-Mariner	345	Mariner-2_LMi_tp#DNA/TcMar-Mariner RBRM:Mariner-2_LMi cds_range:196-1231 [Locusta migratoria]
Mariner-2_PBa_tp	TcMar	DNA/TcMar-Mariner	354	Mariner-2_PBa_tp#DNA/TcMar-Mariner RBRM:Mariner-2_PBa cds_range:197-1259 [Pogonomyrmex barbatus]
Mariner-2_PPc_tp	TcMar	DNA/TcMar-Mariner	338	Mariner-2_PPc_tp#DNA/TcMar-Mariner RBRM:Mariner-2_PPc cds_range:165-1179 [Pristionchus pacificus]
Mariner-2_RPr_tp	TcMar	DNA/TcMar-Mariner	357	Mariner-2_RPr_tp#DNA/TcMar-Mariner RBRM:Mariner-2_RPr cds_range:166-1237 [Rhodnius prolixus]
Mariner-2_SIn_tp	TcMar	DNA/TcMar-Mariner	345	Mariner-2_SIn_tp#DNA/TcMar-Mariner RBRM:Mariner-2_SIn cds_range:173-1208 [Solenopsis invicta]
Mariner-3_AEc_tp	TcMar	DNA/TcMar-Mariner	345	Mariner-3_AEc_tp#DNA/TcMar-Mariner RBRM:Mariner-3_AEc cds_range:175-1210 [Acromyrmex echinatior]
Mariner-3_BM_tp	TcMar	DNA/TcMar-Mariner	339	Mariner-3_BM_tp#DNA/TcMar-Mariner RBRM:Mariner-3_BM frameshifts:1 cds_range:188-1204 via tfasty with Kusmar1_tp [Bombyx mori]
Mariner-3_CFl_tp	TcMar	DNA/TcMar-Mariner	349	Mariner-3_CFl_tp#DNA/TcMar-Mariner RBRM:Mariner-3_CFl cds_range:182-1229 [Camponotus floridanus]
Mariner-3_DRh_tp	TcMar	DNA/TcMar-Mariner	328	Mariner-3_DRh_tp#DNA/TcMar-Mariner RBRM:Mariner-3_DRh cds_range:182-1166 Mariner-2_DEr_tp very similar (with duplication) [Drosophila rhopaloa]
Mariner-3_HSal_tp	TcMar	DNA/TcMar-Mariner	341	Mariner-3_HSal_tp#DNA/TcMar-Mariner RBRM:Mariner-3_HSal cds_range:186-1209 [Harpegnathos saltator]
Mariner-3_PBa_tp	TcMar	DNA/TcMar-Mariner	343	Mariner-3_PBa_tp#DNA/TcMar-Mariner RBRM:Mariner-3_PBa cds_range:175-1204 [Pogonomyrmex barbatus]
Mariner-3_PPo_tp	TcMar	DNA/TcMar-Mariner	337	Mariner-3_PPo_tp#DNA/TcMar-Mariner RBRM:Mariner-3_PPo cds_range:180-1191 [Papilio polytes]
Mariner-4_ACar_tp	TcMar	DNA/TcMar-Mariner	350	Mariner-4_ACar_tp#DNA/TcMar-Mariner RBRM:Mariner-4_ACar cds_range:170-1220 [Anolis carolinensis]
Mariner-4_AEc_tp	TcMar	DNA/TcMar-Mariner	345	Mariner-4_AEc_tp#DNA/TcMar-Mariner RBRM:Mariner-4_AEc cds_range:175-1210 [Acromyrmex echinatior]
Mariner-4_BM_tp	TcMar	DNA/TcMar-Mariner	350	Mariner-4_BM_tp#DNA/TcMar-Mariner RBRM:Mariner-4_BM cds_range:173-1223 [Bombyx mori]
Mariner-4_CFl_tp	TcMar	DNA/TcMar-Mariner	360	Mariner-4_CFl_tp#DNA/TcMar-Mariner RBRM:Mariner-4_CFl cds_range:206-1286 [Camponotus floridanus]
Mariner-4_HSal_tp	TcMar	DNA/TcMar-Mariner	342	Mariner-4_HSal_tp#DNA/TcMar-Mariner RBRM:Mariner-4_HSal cds_range:184-1210 [Harpegnathos saltator]
Mariner-4_RPr_tp	TcMar	DNA/TcMar-Mariner	356	Mariner-4_RPr_tp#DNA/TcMar-Mariner RBRM:Mariner-4_RPr cds_range:193-1261 [Rhodnius prolixus]
Mariner-4_SIn_tp	TcMar	DNA/TcMar-Mariner	349	Mariner-4_SIn_tp#DNA/TcMar-Mariner RBRM:Mariner-4_SIn cds_range:180-1227 [Solenopsis invicta]
Mariner-5_ACe_tp	TcMar	DNA/TcMar-Mariner	373	Mariner-5_ACe_tp#DNA/TcMar-Mariner RBRM:Mariner-5_ACe cds_range:87-1206 [Atta cephalotes]
Mariner-5_AEc_tp	TcMar	DNA/TcMar-Mariner	349	Mariner-5_AEc_tp#DNA/TcMar-Mariner RBRM:Mariner-5_AEc cds_range:184-1231 [Acromyrmex echinatior]
Mariner-5_Crp_tp	TcMar	DNA/TcMar-Mariner	357	Mariner-5_Crp_tp#DNA/TcMar-Mariner RBRM:Mariner-5_Crp cds_range:147-1218 [Crocodylia]
Mariner-5_HSal_tp	TcMar	DNA/TcMar-Mariner	349	Mariner-5_HSal_tp#DNA/TcMar-Mariner RBRM:Mariner-5_HSal cds_range:180-1227 [Harpegnathos saltator]
Mariner-5_LMi_tp	TcMar	DNA/TcMar-Mariner	356	Mariner-5_LMi_tp#DNA/TcMar-Mariner RBRM:Mariner-5_LMi cds_range:165-1233 [Locusta migratoria]
Mariner-5_SIn_tp	TcMar	DNA/TcMar-Mariner	354	Mariner-5_SIn_tp#DNA/TcMar-Mariner RBRM:Mariner-5_SIn cds_range:195-1257 [Solenopsis invicta]
Mariner-6_AEc_tp	TcMar	DNA/TcMar-Mariner	345	Mariner-6_AEc_tp#DNA/TcMar-Mariner RBRM:Mariner-6_AEc cds_range:173-1208 [Acromyrmex echinatior]
Mariner-6_BM_tp	TcMar	DNA/TcMar-Mariner	345	Mariner-6_BM_tp#DNA/TcMar-Mariner RBRM:Mariner-6_BM frameshifts:1 cds_range:161-1195 via tfasty with Desmar1_tp [Bombyx mori]
Mariner-6_CFl_tp	TcMar	DNA/TcMar-Mariner	342	Mariner-6_CFl_tp#DNA/TcMar-Mariner RBRM:Mariner-6_CFl cds_range:185-1211 [Camponotus floridanus]
Mariner-6_DF_tp	TcMar	DNA/TcMar-Mariner	348	Mariner-6_DF_tp#DNA/TcMar-Mariner RBRM:Mariner-6_DF cds_range:181-1225 [Drosophila ficusphila]
Mariner-6_LHu_tp	TcMar	DNA/TcMar-Mariner	349	Mariner-6_LHu_tp#DNA/TcMar-Mariner RBRM:Mariner-6_LHu cds_range:181-1228 [Linepithema humile]
Mariner-6_LMi_tp	TcMar	DNA/TcMar-Mariner	356	Mariner-6_LMi_tp#DNA/TcMar-Mariner RBRM:Mariner-6_LMi cds_range:162-1230 [Locusta migratoria]
Mariner-6_PBa_tp	TcMar	DNA/TcMar-Mariner	336	Mariner-6_PBa_tp#DNA/TcMar-Mariner RBRM:Mariner-6_PBa cds_range:161-1169 [Pogonomyrmex barbatus]
Mariner-6_RPr_tp	TcMar	DNA/TcMar-Mariner	349	Mariner-6_RPr_tp#DNA/TcMar-Mariner RBRM:Mariner-6_RPr cds_range:178-1225 [Rhodnius prolixus]
Mariner-6_SIn_tp	TcMar	DNA/TcMar-Mariner	345	Mariner-6_SIn_tp#DNA/TcMar-Mariner RBRM:Mariner-6_SIn cds_range:175-1210 [Solenopsis invicta]
Mariner-7_AEc_tp	TcMar	DNA/TcMar-Mariner	349	Mariner-7_AEc_tp#DNA/TcMar-Mariner RBRM:Mariner-7_AEc cds_range:180-1227 [Acromyrmex echinatior]
Mariner-7_DEl_tp	TcMar	DNA/TcMar-Mariner	362	Mariner-7_DEl_tp#DNA/TcMar-Mariner RBRM:Mariner-7_DEl cds_range:89-1175 [Drosophila elegans]
Mariner-7_HSal_tp	TcMar	DNA/TcMar-Mariner	358	Mariner-7_HSal_tp#DNA/TcMar-Mariner RBRM:Mariner-7_HSal cds_range:125-1199 [Harpegnathos saltator]
Mariner-7_PBa_tp	TcMar	DNA/TcMar-Mariner	364	Mariner-7_PBa_tp#DNA/TcMar-Mariner RBRM:Mariner-7_PBa cds_range:133-1225 [Pogonomyrmex barbatus]
Mariner-7_RPr_tp	TcMar	DNA/TcMar-Mariner	350	Mariner-7_RPr_tp#DNA/TcMar-Mariner RBRM:Mariner-7_RPr cds_range:175-1225 [Rhodnius prolixus]
Mariner-8_AEc_tp	TcMar	DNA/TcMar-Mariner	342	Mariner-8_AEc_tp#DNA/TcMar-Mariner RBRM:Mariner-8_AEc cds_range:175-1201 [Acromyrmex echinatior]
Mariner-8_DK_tp	TcMar	DNA/TcMar-Tc1	349	Mariner-8_DK_tp#DNA/TcMar-Tc1 RBRM:Mariner-11_BM cds_range:170-1217 [Drosophila kikkawai]
Mariner-8_LHu_tp	TcMar	DNA/TcMar-Mariner	343	Mariner-8_LHu_tp#DNA/TcMar-Mariner RBRM:Mariner-8_LHu cds_range:172-1201 [Linepithema humile]
Mariner-8_LMi_tp	TcMar	DNA/TcMar-Mariner	368	Mariner-8_LMi_tp#DNA/TcMar-Mariner RBRM:Mariner-8_LMi cds_range:123-1227 [Locusta migratoria]
Mariner-8_PBa_tp	TcMar	DNA/TcMar-Mariner	266	Mariner-8_PBa_tp#DNA/TcMar-Mariner RBRM:Mariner-8_PBa cds_range:412-1210 [Pogonomyrmex barbatus]
Mariner-8_SIn_tp	TcMar	DNA/TcMar-Mariner	342	Mariner-8_SIn_tp#DNA/TcMar-Mariner RBRM:Mariner-8_SIn cds_range:187-1213 [Solenopsis invicta]
Mariner-9_ACe_tp	TcMar	DNA/TcMar-Mariner	349	Mariner-9_ACe_tp#DNA/TcMar-Mariner RBRM:Mariner-9_ACe cds_range:179-1226 [Atta cephalotes]
Mariner-9_AEc_tp	TcMar	DNA/TcMar-Mariner	357	Mariner-9_AEc_tp#DNA/TcMar-Mariner RBRM:Mariner-9_AEc cds_range:207-1278 [Acromyrmex echinatior]
Mariner-9_CFl_tp	TcMar	DNA/TcMar-Mariner	346	Mariner-9_CFl_tp#DNA/TcMar-Mariner RBRM:Mariner-9_CFl cds_range:173-1211 [Camponotus floridanus]
Mariner-9_LHu_tp	TcMar	DNA/TcMar-Mariner	347	Mariner-9_LHu_tp#DNA/TcMar-Mariner RBRM:Mariner-9_LHu cds_range:167-1208 [Linepithema humile]
Mariner-9_PBa_tp	TcMar	DNA/TcMar-Mariner	294	Mariner-9_PBa_tp#DNA/TcMar-Mariner RBRM:Mariner-9_PBa cds_range:209-1091 [Pogonomyrmex barbatus]
Mariner-9_RPr_tp	TcMar	DNA/TcMar-Mariner	331	Mariner-9_RPr_tp#DNA/TcMar-Mariner RBRM:Mariner-9_RPr cds_range:262-1255 [Rhodnius prolixus]
Mariner-9_SIn_tp	TcMar	DNA/TcMar-Mariner	312	Mariner-9_SIn_tp#DNA/TcMar-Mariner RBRM:Mariner-9_SIn cds_range:181-1117 [Solenopsis invicta]
Mariner-10_AEc_tp	TcMar	DNA/TcMar-Mariner	343	Mariner-10_AEc_tp#DNA/TcMar-Mariner RBRM:Mariner-10_AEc cds_range:174-1203 [Acromyrmex echinatior]
Mariner-10_CFl_tp	TcMar	DNA/TcMar-Mariner	342	Mariner-10_CFl_tp#DNA/TcMar-Mariner RBRM:Mariner-10_CFl cds_range:184-1210 [Camponotus floridanus]
Mariner-10_HSal_tp	TcMar	DNA/TcMar-Mariner	339	Mariner-10_HSal_tp#DNA/TcMar-Mariner RBRM:Mariner-10_HSal cds_range:191-1208 [Harpegnathos saltator]
Mariner-10_LHu_tp	TcMar	DNA/TcMar-Mariner	345	Mariner-10_LHu_tp#DNA/TcMar-Mariner RBRM:Mariner-10_LHu cds_range:171-1206 [Linepithema humile]
Mariner-11_CFl_tp	TcMar	DNA/TcMar-Mariner	342	Mariner-11_CFl_tp#DNA/TcMar-Mariner RBRM:Mariner-11_CFl cds_range:173-1199 [Camponotus floridanus]
Mariner-11_CGi_tp	TcMar	DNA/TcMar-Mariner	334	Mariner-11_CGi_tp#DNA/TcMar-Mariner RBRM:Mariner-11_CGi cds_range:410-1412 [Crassostrea gigas]
Mariner-11_HSal_tp	TcMar	DNA/TcMar-Mariner	342	Mariner-11_HSal_tp#DNA/TcMar-Mariner RBRM:Mariner-11_HSal cds_range:187-1213 [Harpegnathos saltator]
Mariner-11_LHu_tp	TcMar	DNA/TcMar-Mariner	342	Mariner-11_LHu_tp#DNA/TcMar-Mariner RBRM:Mariner-11_LHu cds_range:173-1199 [Linepithema humile]
Mariner-11_SIn_tp	TcMar	DNA/TcMar-Mariner	345	Mariner-11_SIn_tp#DNA/TcMar-Mariner RBRM:Mariner-11_SIn cds_range:175-1210 [Solenopsis invicta]
Mariner-12_CFl_tp	TcMar	DNA/TcMar-Mariner	278	Mariner-12_CFl_tp#DNA/TcMar-Mariner RBRM:Mariner-12_CFl cds_range:391-1225 [Camponotus floridanus]
Mariner-12_PBa_tp	TcMar	DNA/TcMar-Mariner	357	Mariner-12_PBa_tp#DNA/TcMar-Mariner RBRM:Mariner-12_PBa cds_range:138-1209 [Pogonomyrmex barbatus]
Mariner-12_SIn_tp	TcMar	DNA/TcMar-Mariner	345	Mariner-12_SIn_tp#DNA/TcMar-Mariner RBRM:Mariner-12_SIn cds_range:171-1206 [Solenopsis invicta]
Mariner-13_AEc_tp	TcMar	DNA/TcMar-Mariner	300	Mariner-13_AEc_tp#DNA/TcMar-Mariner RBRM:Mariner-13_AEc cds_range:192-1092 [Acromyrmex echinatior]
